INFO 2025-06-20 18:26:26,665 autoreload 20387 139711488857280 Watching for file changes with StatReloader
INFO 2025-06-20 18:26:38,788 views 20387 139710789891648 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:26:38,881 basehttp 20387 139710789891648 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:26:38,917 basehttp 20387 139710789891648 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:26:41,157 auth_backend 20387 139710789891648 Credenciales GLPI válidas para usuario 28492679.
INFO 2025-06-20 18:26:41,215 auth_backend 20387 139710789891648 Usuario 28492679 añadido/asegurado en grupo Django 'Perfil Requerido'.
INFO 2025-06-20 18:26:41,376 views 20387 139710789891648 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:26:41,460 basehttp 20387 139710789891648 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:26:41,770 basehttp 20387 139710789891648 "GET / HTTP/1.1" 200 84578
INFO 2025-06-20 18:26:42,579 basehttp 20387 139710789891648 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:27:22,249 autoreload 20387 139711488857280 /home/oleon/Escritorio/reporte_glpi_django/metricas/services.py changed, reloading.
INFO 2025-06-20 18:27:22,680 autoreload 20519 139870046868672 Watching for file changes with StatReloader
INFO 2025-06-20 18:28:00,003 autoreload 20519 139870046868672 /home/oleon/Escritorio/reporte_glpi_django/metricas/services.py changed, reloading.
INFO 2025-06-20 18:28:00,357 autoreload 20576 140212303414464 Watching for file changes with StatReloader
INFO 2025-06-20 18:28:45,847 autoreload 20576 140212303414464 /home/oleon/Escritorio/reporte_glpi_django/metricas/views.py changed, reloading.
INFO 2025-06-20 18:28:46,182 autoreload 20647 140251919189184 Watching for file changes with StatReloader
INFO 2025-06-20 18:30:13,159 basehttp 20647 140251220059712 "GET / HTTP/1.1" 200 73543
INFO 2025-06-20 18:30:13,851 basehttp 20647 140251220059712 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:30:21,997 basehttp 20647 140251220059712 "GET /obtener-grupos/ HTTP/1.1" 200 557
INFO 2025-06-20 18:30:24,195 basehttp 20647 140251220059712 "GET /obtener-subgrupos/?grupo_id=122 HTTP/1.1" 200 450
INFO 2025-06-20 18:30:25,998 basehttp 20647 140251220059712 "GET /obtener-tecnicos-por-subgrupo/?subgrupo_id=11 HTTP/1.1" 200 433
INFO 2025-06-20 18:30:28,360 views 20647 140251220059712 Generando reporte principal para fechas 2025-06-01 a 2025-06-30 (30 días) y técnicos: ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )']
INFO 2025-06-20 18:30:28,360 services 20647 140251220059712 🚀 Iniciando reporte ultra-optimizado para rango 2025-06-01 - 2025-06-30
INFO 2025-06-20 18:30:28,361 services 20647 140251220059712 📊 Rango de 30 días - Single query
INFO 2025-06-20 18:30:28,361 services 20647 140251220059712 📊 Procesando 1 chunks de datos
INFO 2025-06-20 18:30:28,362 services 20647 140251220059712 ⚡ Procesamiento directo (rango pequeño)
INFO 2025-06-20 18:30:28,362 services 20647 140251220059712 🔄 Procesando chunk: 2025-06-01 a 2025-06-30
DEBUG 2025-06-20 18:30:44,574 services 20647 140251220059712 ✅ Consulta recibidos completada para chunk 2025-06-01-2025-06-30
DEBUG 2025-06-20 18:30:44,575 services 20647 140251220059712 ✅ Consulta cerrados completada para chunk 2025-06-01-2025-06-30
DEBUG 2025-06-20 18:30:44,575 services 20647 140251220059712 ✅ Consulta sla completada para chunk 2025-06-01-2025-06-30
DEBUG 2025-06-20 18:30:44,575 services 20647 140251220059712 ✅ Consulta reabiertos completada para chunk 2025-06-01-2025-06-30
INFO 2025-06-20 18:30:44,589 services 20647 140251220059712 💾 Resultado guardado en cache por 60 minutos
INFO 2025-06-20 18:30:44,589 services 20647 140251220059712 ✅ Reporte ultra-optimizado completado en 16.23 segundos
INFO 2025-06-20 18:30:44,590 services 20647 140251220059712 📈 Procesados 7 técnicos en 1 chunks
INFO 2025-06-20 18:30:44,590 views 20647 140251220059712 Reporte completado en 16.23 segundos para 7 técnicos
INFO 2025-06-20 18:30:44,591 basehttp 20647 140251220059712 "POST /generar-reporte/ HTTP/1.1" 200 2204
INFO 2025-06-20 18:31:55,515 views 20647 140251220059712 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:31:55,646 basehttp 20647 140251220059712 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:31:55,655 basehttp 20647 140251220059712 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:31:57,320 auth_backend 20647 140251220059712 Credenciales GLPI válidas para usuario 28492679.
INFO 2025-06-20 18:31:57,400 auth_backend 20647 140251220059712 Usuario 28492679 añadido/asegurado en grupo Django 'Perfil Requerido'.
INFO 2025-06-20 18:31:57,603 views 20647 140251220059712 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:31:57,667 basehttp 20647 140251220059712 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:31:57,995 basehttp 20647 140251220059712 "GET / HTTP/1.1" 200 87109
INFO 2025-06-20 18:31:58,722 basehttp 20647 140251220059712 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:32:33,983 views 20647 140251220059712 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:32:34,064 basehttp 20647 140251220059712 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:32:34,068 basehttp 20647 140251220059712 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:32:36,089 auth_backend 20647 140251220059712 Credenciales GLPI válidas para usuario 28492679.
INFO 2025-06-20 18:32:36,155 auth_backend 20647 140251220059712 Usuario 28492679 añadido/asegurado en grupo Django 'Perfil Requerido'.
INFO 2025-06-20 18:32:36,309 views 20647 140251220059712 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:32:36,706 basehttp 20647 140251220059712 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:32:37,016 basehttp 20647 140251220059712 "GET / HTTP/1.1" 200 88279
INFO 2025-06-20 18:32:37,485 basehttp 20647 140251220059712 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:32:39,086 views 20647 140251220059712 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:32:39,169 basehttp 20647 140251220059712 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:32:39,173 basehttp 20647 140251220059712 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:32:40,561 auth_backend 20647 140251220059712 Credenciales GLPI válidas para usuario 28492679.
INFO 2025-06-20 18:32:40,641 auth_backend 20647 140251220059712 Usuario 28492679 añadido/asegurado en grupo Django 'Perfil Requerido'.
INFO 2025-06-20 18:32:40,869 views 20647 140251220059712 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:32:40,961 basehttp 20647 140251220059712 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:32:41,296 basehttp 20647 140251220059712 "GET / HTTP/1.1" 200 88279
INFO 2025-06-20 18:32:41,829 basehttp 20647 140251220059712 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:32:44,315 views 20647 140251220059712 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:32:44,463 basehttp 20647 140251220059712 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:32:44,466 basehttp 20647 140251220059712 "GET /login/ HTTP/1.1" 200 16313
INFO 2025-06-20 18:32:45,835 auth_backend 20647 140251220059712 Credenciales GLPI válidas para usuario 28492679.
INFO 2025-06-20 18:32:45,901 auth_backend 20647 140251220059712 Usuario 28492679 añadido/asegurado en grupo Django 'Perfil Requerido'.
INFO 2025-06-20 18:32:46,068 views 20647 140251220059712 Inicio de sesión exitoso para el usuario 28492679.
INFO 2025-06-20 18:32:46,161 basehttp 20647 140251220059712 "POST /login/ HTTP/1.1" 302 0
INFO 2025-06-20 18:32:46,468 basehttp 20647 140251220059712 "GET / HTTP/1.1" 200 88279
INFO 2025-06-20 18:32:46,934 basehttp 20647 140251220059712 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:32:59,240 basehttp 20647 140251220059712 "GET /obtener-grupos/ HTTP/1.1" 200 557
INFO 2025-06-20 18:33:01,564 basehttp 20647 140251220059712 "GET /obtener-subgrupos/?grupo_id=122 HTTP/1.1" 200 450
INFO 2025-06-20 18:33:03,166 basehttp 20647 140251220059712 "GET /obtener-tecnicos-por-subgrupo/?subgrupo_id=11 HTTP/1.1" 200 433
INFO 2025-06-20 18:33:04,167 views 20647 140251220059712 Generando reporte principal para fechas 2025-06-01 a 2025-06-30 (30 días) y técnicos: ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )']
INFO 2025-06-20 18:33:04,167 services 20647 140251220059712 🚀 Iniciando reporte ultra-optimizado para rango 2025-06-01 - 2025-06-30
INFO 2025-06-20 18:33:04,168 services 20647 140251220059712 📊 Rango de 30 días - Single query
INFO 2025-06-20 18:33:04,168 services 20647 140251220059712 📦 Cache hit - retornando resultado cacheado
INFO 2025-06-20 18:33:04,168 views 20647 140251220059712 Reporte completado en 0.00 segundos para 7 técnicos
INFO 2025-06-20 18:33:04,169 basehttp 20647 140251220059712 "POST /generar-reporte/ HTTP/1.1" 200 2202
INFO 2025-06-20 18:33:09,636 views 20647 140251220059712 Generando reporte principal para fechas 2025-06-01 a 2025-06-30 (30 días) y técnicos: ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )']
INFO 2025-06-20 18:33:09,636 services 20647 140251220059712 🚀 Iniciando reporte ultra-optimizado para rango 2025-06-01 - 2025-06-30
INFO 2025-06-20 18:33:09,636 services 20647 140251220059712 📊 Rango de 30 días - Single query
INFO 2025-06-20 18:33:09,636 services 20647 140251220059712 📦 Cache hit - retornando resultado cacheado
INFO 2025-06-20 18:33:09,636 views 20647 140251220059712 Reporte completado en 0.00 segundos para 7 técnicos
INFO 2025-06-20 18:33:09,637 basehttp 20647 140251220059712 "POST /generar-reporte/ HTTP/1.1" 200 2202
INFO 2025-06-20 18:33:11,030 views 20647 140251220059712 Generando reporte principal para fechas 2025-06-01 a 2025-06-30 (30 días) y técnicos: ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )']
INFO 2025-06-20 18:33:11,031 services 20647 140251220059712 🚀 Iniciando reporte ultra-optimizado para rango 2025-06-01 - 2025-06-30
INFO 2025-06-20 18:33:11,031 services 20647 140251220059712 📊 Rango de 30 días - Single query
INFO 2025-06-20 18:33:11,031 services 20647 140251220059712 📦 Cache hit - retornando resultado cacheado
INFO 2025-06-20 18:33:11,031 views 20647 140251220059712 Reporte completado en 0.00 segundos para 7 técnicos
INFO 2025-06-20 18:33:11,032 basehttp 20647 140251220059712 "POST /generar-reporte/ HTTP/1.1" 200 2202
INFO 2025-06-20 18:33:29,453 basehttp 20647 140251220059712 "GET /obtener-grupos/ HTTP/1.1" 200 557
INFO 2025-06-20 18:33:32,227 basehttp 20647 140251220059712 "GET /obtener-subgrupos/?grupo_id=122 HTTP/1.1" 200 450
INFO 2025-06-20 18:33:33,657 basehttp 20647 140251220059712 "GET /obtener-tecnicos-por-subgrupo/?subgrupo_id=11 HTTP/1.1" 200 433
WARNING 2025-06-20 18:33:34,593 views 20647 140251220059712 Generando reporte para rango muy grande: 395 días
INFO 2025-06-20 18:33:34,593 views 20647 140251220059712 Generando reporte principal para fechas 2024-06-01 a 2025-06-30 (395 días) y técnicos: ['Aldama Josfren ( INT-VE-632 )', 'Arteaga Daniel ( INT-VE-439)', 'Chain Joseph ( INT-VE-1404 )', 'Leon Oswaldo ( INT-VE-545 )', 'Perez Adrian ( INT-VE-543 )', 'Reyes Armando ( INT-VE-544 )', 'Rodríguez Sánchez  Yonny Javier ( INT-VE-356 )']
INFO 2025-06-20 18:33:34,593 services 20647 140251220059712 🚀 Iniciando reporte ultra-optimizado para rango 2024-06-01 - 2025-06-30
INFO 2025-06-20 18:33:34,593 services 20647 140251220059712 📊 Rango de 395 días - Chunk processing
INFO 2025-06-20 18:33:34,593 services 20647 140251220059712 📊 Procesando 5 chunks de datos
INFO 2025-06-20 18:33:34,593 services 20647 140251220059712 🔄 Procesamiento paralelo de 5 chunks
INFO 2025-06-20 18:33:34,594 services 20647 140251220059712 📦 Procesando lote 1/2
INFO 2025-06-20 18:33:34,594 services 20647 140251211667008 🔄 Procesando chunk: 2024-06-01 a 2024-08-29
INFO 2025-06-20 18:33:34,594 services 20647 140251201693248 🔄 Procesando chunk: 2024-08-30 a 2024-11-27
INFO 2025-06-20 18:33:34,594 services 20647 140251184907840 🔄 Procesando chunk: 2024-11-28 a 2025-02-25
INFO 2025-06-20 18:33:55,909 basehttp 20647 140250068280896 "GET / HTTP/1.1" 200 94145
INFO 2025-06-20 18:33:56,521 basehttp 20647 140250068280896 "GET /tecnicos/ HTTP/1.1" 200 11311
INFO 2025-06-20 18:33:57,797 views 20647 140250068280896 Usuario 28492679 cerrando sesión.
INFO 2025-06-20 18:33:57,891 basehttp 20647 140250068280896 "GET /logout/ HTTP/1.1" 302 0
INFO 2025-06-20 18:33:57,897 basehttp 20647 140250068280896 "GET /login/ HTTP/1.1" 200 16313
